region_code,location_key,site_number,site_code,display_name
K,Huvafenfushi_Resort,2613,K_2613_Huvafenfushi_Resort,K 2613 Huvafenfushi Resort
K,Ihuru_Resort,2363,K_2363_Ihuru_Resort,K 2363 Ihuru Resort
K,Ithaafushi_Resort,2712,K_2712_Ithaafushi_Resort,K 2712 Ithaafushi Resort
K,Kaashidhoo,2308,K_2308_Kaashidhoo,K 2308 Kaashidhoo
K,Kandoomaa_Resort,2343,K_2343_Kandoomaa_Resort,K 2343 Kandoomaa Resort
K,KudaBandos_Resort,2722,K_2722_KudaBandos_Resort,K 2722 KudaBandos Resort
K,Kudahuraa_Resort,2323,K_2323_Kudahuraa_Resort,K 2323 Kudahuraa Resort
K,Kudavilingili_Resort,2872,K_2872_Kudavilingili_Resort,K 2872 Kudavilingili Resort
K,Kurumbaa_Resort,2329,K_2329_Kurumbaa_Resort,K 2329 Kurumbaa Resort
K,Maadhoofinolhu_Resort,2700,K_2700_Maadhoofinolhu_Resort,K 2700 Maadhoofinolhu Resort
K,Maafushi,2311,K_2311_Maafushi,K 2311 Maafushi
K,Maafushi_Leisure_Boutique,2703,K_2703_Maafushi_Leisure_Boutique,K 2703 Maafushi Leisure Boutique
K,Madivaru_Resort,2566,K_2566_Madivaru_Resort,K 2566 Madivaru Resort
K,Male_Airport,2312,K_2312_Male_Airport,K 2312 Male Airport
K,Male_Airport_ATC,2873,K_2873_Male_Airport_ATC,K 2873 Male Airport ATC
K,Male_Airport_IBS,2392,K_2392_Male_Airport_IBS,K 2392 Male Airport IBS
K,Male_Airport_MNDF,2874,K_2874_Male_Airport_MNDF,K 2874 Male Airport MNDF
K,Male_Airport_WS,2875,K_2875_Male_Airport_WS,K 2875 Male Airport WS
K,Meeru_Island_Resort,2335,K_2335_Meeru_Island_Resort,K 2335 Meeru Island Resort
K,Olhuveli_Resort,2353,K_2353_Olhuveli_Resort,K 2353 Olhuveli Resort
K,Paradise_Resort,2331,K_2331_Paradise_Resort,K 2331 Paradise Resort
K,RadhunDhonfushi_Resort,2568,K_2568_RadhunDhonfushi_Resort,K 2568 RadhunDhonfushi Resort
K,RadhunMaaranfushi_Resort,2569,K_2569_RadhunMaaranfushi_Resort,K 2569 RadhunMaaranfushi Resort
K,Rannalhi_Resort,2383,K_2383_Rannalhi_Resort,K 2383 Rannalhi Resort
K,Rasfushi_Resort,2620,K_2620_Rasfushi_Resort,K 2620 Rasfushi Resort
K,Reethi_Rah_Resort,2322,K_2322_Reethi_Rah_Resort,K 2322 Reethi Rah Resort
K,Rihiveli_Resort,2377,K_2377_Rihiveli_Resort,K 2377 Rihiveli Resort
K,Summer_Island_Resort,2346,K_2346_Summer_Island_Resort,K 2346 Summer Island Resort
K,Taj_Coral_Resort,2352,K_2352_Taj_Coral_Resort,K 2352 Taj Coral Resort
K,Taj_Exotica_Resort,2342,K_2342_Taj_Exotica_Resort,K 2342 Taj Exotica Resort
K,Thilafushi,2320,K_2320_Thilafushi,K 2320 Thilafushi
K,Thilafushi_MTCC,2390,K_2390_Thilafushi_MTCC,K 2390 Thilafushi MTCC
K,Thulhaagiri_Resort,2330,K_2330_Thulhaagiri_Resort,K 2330 Thulhaagiri Resort
K,Thulusdhoo,2313,K_2313_Thulusdhoo,K 2313 Thulusdhoo
K,Thumbafushi,2693,K_2693_Thumbafushi,K 2693 Thumbafushi
K,Vaadhoo_Resort,2382,K_2382_Vaadhoo_Resort,K 2382 Vaadhoo Resort
K,Vabbinfaru_Resort,2325,K_2325_Vabbinfaru_Resort,K 2325 Vabbinfaru Resort
K,Velassaru_Resort,2615,K_2615_Velassaru_Resort,K 2615 Velassaru Resort
K,Viligili,2314,K_2314_Viligili,K 2314 Viligili
K,Viligili_Shima,2336,K_2336_Viligili_Shima,K 2336 Viligili Shima
L,Dhanbidhoo,3308,L_3308_Dhanbidhoo,L 3308 Dhanbidhoo
L,Fonadhoo,3301,L_3301_Fonadhoo,L 3301 Fonadhoo
L,Fonadhoo_2,3323,L_3323_Fonadhoo_2,L 3323 Fonadhoo 2
L,Gamu,3302,L_3302_Gamu,L 3302 Gamu
L,Gamu_Mathimaradhoo,3347,L_3347_Gamu_Mathimaradhoo,L 3347 Gamu Mathimaradhoo
L,Gamu_Mukurimagu,3310,L_3310_Gamu_Mukurimagu,L 3310 Gamu Mukurimagu
L,Gamu_Thundi,3313,L_3313_Gamu_Thundi,L 3313 Gamu Thundi
L,Hithadhoo,3306,L_3306_Hithadhoo,L 3306 Hithadhoo
L,Isdhoo,3303,L_3303_Isdhoo,L 3303 Isdhoo
L,Kadhdhoo_Airport,3304,L_3304_Kadhdhoo_Airport,L 3304 Kadhdhoo Airport
L,Kalaidhoo,3312,L_3312_Kalaidhoo,L 3312 Kalaidhoo
L,Kunahandhoo,3314,L_3314_Kunahandhoo,L 3314 Kunahandhoo
L,Latitude_Resort,3315,L_3315_Latitude_Resort,L 3315 Latitude Resort
L,Maabaidhoo,3307,L_3307_Maabaidhoo,L 3307 Maabaidhoo
L,Maamendhoo,3309,L_3309_Maamendhoo,L 3309 Maamendhoo
L,Maandhoo,3317,L_3317_Maandhoo,L 3317 Maandhoo
L,Maavah,3305,L_3305_Maavah,L 3305 Maavah
Lh,Felivaru,1413,Lh_1413_Felivaru,Lh 1413 Felivaru
Lh,Hinnavaru,1401,Lh_1401_Hinnavaru,Lh 1401 Hinnavaru
Lh,Kanifushi_Beach_Resort,1420,Lh_1420_Kanifushi_Beach_Resort,Lh 1420 Kanifushi Beach Resort
Lh,Kanuhuraa_Resort,1405,Lh_1405_Kanuhuraa_Resort,Lh 1405 Kanuhuraa Resort
Lh,Komandoo_Resort,1409,Lh_1409_Komandoo_Resort,Lh 1409 Komandoo Resort
Lh,Kuredhdhoo_Resort,1402,Lh_1402_Kuredhdhoo_Resort,Lh 1402 Kuredhdhoo Resort
Lh,Kurendhoo,1403,Lh_1403_Kurendhoo,Lh 1403 Kurendhoo
Lh,Maafilaafushi,1414,Lh_1414_Maafilaafushi,Lh 1414 Maafilaafushi
Lh,Naifaru,1404,Lh_1404_Naifaru,Lh 1404 Naifaru
Lh,Olhuvelifushi,1406,Lh_1406_Olhuvelifushi,Lh 1406 Olhuvelifushi
Lh,Ookolhufinolhu_Resort,1435,Lh_1435_Ookolhufinolhu_Resort,Lh 1435 Ookolhufinolhu Resort
Lh,Palm_Beach_Resort,1411,Lh_1411_Palm_Beach_Resort,Lh 1411 Palm Beach Resort
M,Dhiggaru,3401,M_3401_Dhiggaru,M 3401 Dhiggaru
M,Hakuraahuraa_Resort,3409,M_3409_Hakuraahuraa_Resort,M 3409 Hakuraahuraa Resort
M,Kolhufushi,3402,M_3402_Kolhufushi,M 3402 Kolhufushi
M,Medhufushi_Resort,3408,M_3408_Medhufushi_Resort,M 3408 Medhufushi Resort
M,Mulah,3404,M_3404_Mulah,M 3404 Mulah
M,Naalaafushi,3405,M_3405_Naalaafushi,M 3405 Naalaafushi
Male,Aakakaage,2405,Male_2405_Aakakaage,Male 2405 Aakakaage
Male,Ageedhuge,2491,Male_2491_Ageedhuge,Male 2491 Ageedhuge
Male,Bolissafaru,2414,Male_2414_Bolissafaru,Male 2414 Bolissafaru
Male,Crimson_Rose,2481,Male_2481_Crimson_Rose,Male 2481 Crimson Rose
Male,Dhonannaruge,2403,Male_2403_Dhonannaruge,Male 2403 Dhonannaruge
Male,East_Light,2409,Male_2409_East_Light,Male 2409 East Light
Male,Fashan,2407,Male_2407_Fashan,Male 2407 Fashan
Male,Fin,2451,Male_2451_Fin,Male 2451 Fin
Male,Four_Lights,2413,Male_2413_Four_Lights,Male 2413 Four Lights
Male,Frenzy,2402,Male_2402_Frenzy,Male 2402 Frenzy
Male,GreenFehi,2456,Male_2456_GreenFehi,Male 2456 GreenFehi
Male,Hazaarumaage,2408,Male_2408_Hazaarumaage,Male 2408 Hazaarumaage
Male,Kashmeeru_Vaadhee,2421,Male_2421_Kashmeeru_Vaadhee,Male 2421 Kashmeeru Vaadhee
Male,Leela_Manzil,2416,Male_2416_Leela_Manzil,Male 2416 Leela Manzil
Male,Loajehi_Palace,2428,Male_2428_Loajehi_Palace,Male 2428 Loajehi Palace
Male,Lunchmead,2460,Male_2460_Lunchmead,Male 2460 Lunchmead
Male,MPA,2482,Male_2482_MPA,Male 2482 MPA
Male,MWSC,2410,Male_2410_MWSC,Male 2410 MWSC
Male,Maalhuveli,2423,Male_2423_Maalhuveli,Male 2423 Maalhuveli
Male,Malehiya,2404,Male_2404_Malehiya,Male 2404 Malehiya
Male,Mirihimaage,2458,Male_2458_Mirihimaage,Male 2458 Mirihimaage
Male,Noohiri,2411,Male_2411_Noohiri,Male 2411 Noohiri
Male,PA_Complex,2406,Male_2406_PA_Complex,Male 2406 PA Complex
Male,Perisge,2444,Male_2444_Perisge,Male 2444 Perisge
Male,Radio_Building,2417,Male_2417_Radio_Building,Male 2417 Radio Building
Male,Saimaa,2418,Male_2418_Saimaa,Male 2418 Saimaa
Male,Samandharu,2449,Male_2449_Samandharu,Male 2449 Samandharu
Male,Send_Rose,2488,Male_2488_Send_Rose,Male 2488 Send Rose
Male,Shafaq,2490,Male_2490_Shafaq,Male 2490 Shafaq
Male,Sony,2486,Male_2486_Sony,Male 2486 Sony
Male,Sunleet,2420,Male_2420_Sunleet,Male 2420 Sunleet
Male,Velaanaage_IBS,2442,Male_2442_Velaanaage_IBS,Male 2442 Velaanaage IBS
N,Fodhdhoo,1555,N_1555_Fodhdhoo,N 1555 Fodhdhoo
N,Fushivelavaru_Resort,1516,N_1516_Fushivelavaru_Resort,N 1516 Fushivelavaru Resort
N,Henbadhoo,1511,N_1511_Henbadhoo,N 1511 Henbadhoo
N,Holhudhoo,1501,N_1501_Holhudhoo,N 1501 Holhudhoo
N,Irufushi_Resort,1514,N_1514_Irufushi_Resort,N 1514 Irufushi Resort
N,Kendhikolhudhoo,1502,N_1502_Kendhikolhudhoo,N 1502 Kendhikolhudhoo
N,Kudafari,1508,N_1508_Kudafari,N 1508 Kudafari
N,Kudafunafaru_Resort,1512,N_1512_Kudafunafaru_Resort,N 1512 Kudafunafaru Resort
N,Kulhudhoo,1517,N_1517_Kulhudhoo,N 1517 Kulhudhoo
N,Landhoo,1509,N_1509_Landhoo,N 1509 Landhoo
N,Lhohi,1510,N_1510_Lhohi,N 1510 Lhohi
N,Maafaru,1506,N_1506_Maafaru,N 1506 Maafaru
N,Maalhendhoo,1503,N_1503_Maalhendhoo,N 1503 Maalhendhoo
N,Manadhoo,1504,N_1504_Manadhoo,N 1504 Manadhoo
N,Miladhoo,1507,N_1507_Miladhoo,N 1507 Miladhoo
N,Randheli_Resort,1513,N_1513_Randheli_Resort,N 1513 Randheli Resort
